AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.Paint,2018-02-01T14:33:34.2044597Z,2018-02-01T14:34:10.965Z,8bbd5775-08b0-4c8e-a821-2b984f677cc4,14.55,0.61,19.0,14
Dotyk.Application.Paint,2018-02-01T15:40:18.4911584Z,2018-02-01T15:41:13.256Z,cf636439-9bf9-4683-b0c1-cb025f96421a,15.67,0.91,175.0,15
Dotyk.Application.Paint,2018-02-01T15:42:27.3176114Z,2018-02-01T16:01:35.608Z,9a739cfb-d036-48ff-be2d-0c74972077bd,15.7,19.14,38.0,15
Dotyk.Application.Paint,2018-02-01T15:45:13.0707203Z,2018-02-01T15:45:18.183Z,2053f81c-72bc-4b8c-81a7-f3821908b485,15.75,0.09,175.0,15
Dotyk.Application.Paint,2018-02-01T15:46:43.9546418Z,2018-02-01T15:48:52.069Z,e5582456-ae25-4a5c-bdf4-7589eb21ac4f,15.77,2.14,19.0,15
Dotyk.Application.Paint,2018-02-01T15:53:25.9545563Z,2018-02-01T15:56:03.293Z,d17f5f52-abea-45bd-a3ea-fc6efff8ca72,15.88,2.62,36.0,15
Dotyk.Application.Paint,2018-02-01T16:27:27.355663Z,2018-02-01T16:28:03.423Z,66c4f945-f68b-441c-8b7b-d4738d214b70,16.45,0.6,115.0,16
Dotyk.Application.Paint,2018-02-01T16:37:30.7984924Z,2018-02-01T16:37:58.063Z,b976808c-d740-477d-8187-ffad213b97b4,16.62,0.45,19.0,16
Dotyk.Application.Paint,2018-02-01T17:04:34.2372182Z,2018-02-01T17:06:36.722Z,6382539a-2c66-4132-a0b2-b965d032e337,17.07,2.04,115.0,17
Dotyk.Application.Paint,2018-02-01T17:06:02.080957Z,2018-02-01T17:21:47.907Z,8840ff3e-6b1f-459b-aa91-6931a1c89f55,17.1,15.76,129.0,17
Dotyk.Application.Paint,2018-02-01T17:10:02.0136342Z,2018-02-01T17:38:19.335Z,4bb12c2d-7752-4615-837e-4931639c364f,17.17,28.29,89.0,17
Dotyk.Application.Paint,2018-02-01T18:08:31.6378Z,2018-02-01T18:09:12.661Z,18a4d085-0cb8-4c37-be46-fe6983f0506b,18.13,0.68,36.0,18
Dotyk.Application.Paint,2018-02-01T18:09:53.6976607Z,2018-02-01T18:10:37.461Z,6fda9721-9d3f-4738-acb4-872513408e24,18.15,0.73,129.0,18
