AppId,StartTime,EndTime,Id,Time,Duration,Revenue
Dotyk.Application.AirHockey,2018-02-01T17:23:11.9892504Z,2018-02-01T17:35:42.774Z,26973728-7a01-4efb-80e7-c6dce82221ca,17.38,12.51,129.0
Dotyk.Application.AirHockey,2018-02-01T17:44:22.7252665Z,2018-02-01T17:44:56.289Z,7c93aad7-6f51-4a9c-b295-f89e9843259d,17.73,0.56,36.0
Dotyk.Application.AirHockey,2018-02-01T17:45:24.1929824Z,2018-02-01T17:45:34.676Z,5dca786e-70de-4218-a815-1d01d37e730f,17.75,0.17,89.0
Dotyk.Application.AirHockey,2018-02-01T18:12:45.6036316Z,2018-02-01T18:13:09.207Z,ceb92372-7f6d-45cf-9de7-a18d8225efa0,18.2,0.39,129.0
Dotyk.Application.AirHockey,2018-02-01T18:44:11.4606197Z,2018-02-01T18:49:40.369Z,a4911bea-d48d-471b-95b0-034949cbc7d5,18.73,5.48,129.0
Dotyk.Application.AirHockey,2018-02-02T11:20:15.3142266Z,2018-02-02T11:22:00.852Z,c03789ee-5188-47de-8a20-d87f29121c17,11.33,1.76,175.0
Dotyk.Application.AirHockey,2018-02-02T12:05:29.8642585Z,2018-02-02T12:38:41.401Z,20087968-9685-443c-9174-6ac1478b96f5,12.08,33.19,38.0
Dotyk.Application.AirHockey,2018-02-02T15:11:28.6727759Z,2018-02-02T15:16:10.463Z,e35c88e1-883c-4aa2-a177-15b456266c9f,15.18,4.7,25.0
Dotyk.Application.AirHockey,2018-02-02T15:35:50.2205714Z,2018-02-02T15:45:51.649Z,59280854-42af-4776-9887-a846ea8ff8bb,15.58,10.02,52.0
Dotyk.Application.AirHockey,2018-02-02T15:39:04.7081525Z,2018-02-02T15:42:08.166Z,007d5e8a-ee01-4d8f-95f6-ea26b5f1cb45,15.65,3.06,52.0
Dotyk.Application.AirHockey,2018-02-02T15:53:36.5296561Z,2018-02-02T15:55:09.321Z,5bf6165f-038a-4a20-9299-9a7143740a88,15.88,1.55,52.0
Dotyk.Application.AirHockey,2018-02-02T15:54:20.9912012Z,2018-02-02T15:56:09.189Z,559daa01-59ee-4692-aa8c-311bd04fc83e,15.9,1.8,52.0
Dotyk.Application.AirHockey,2018-02-02T16:13:18.2158277Z,2018-02-02T16:13:50.914Z,ed17d55f-163c-4d9a-a951-13e6f740f0e5,16.22,0.54,52.0
Dotyk.Application.AirHockey,2018-02-02T16:39:47.4206659Z,2018-02-02T17:01:13.277Z,bec404c0-581a-4c81-850e-f53435c904f0,16.65,21.43,25.0
Dotyk.Application.AirHockey,2018-02-02T16:49:39.4616655Z,2018-02-02T16:52:14.551Z,e02b4581-e039-4cf3-b209-69b04cf7451a,16.82,2.58,45.0
Dotyk.Application.AirHockey,2018-02-02T16:49:42.1880997Z,2018-02-02T16:52:45.931Z,2cf4725b-e5fa-4f61-a833-0a1d046fe3c0,16.82,3.06,98.0
