AppId,StartTime,EndTime,Id,Time,Duration,Revenue
Dotyk.Application.News,2018-02-01T10:09:20.307Z,2018-02-01T10:09:20.307Z,0d8b4f17-2400-4a36-82a9-fa5d1b68b420,10.15,0.0,129.0
Dotyk.Application.News,2018-02-01T10:38:24.2228784Z,2018-02-01T10:56:12.747Z,9fb52ee5-a988-4e88-a5e8-7f17737218c6,10.63,17.81,175.0
Dotyk.Application.News,2018-02-01T14:34:37.9298412Z,2018-02-01T15:45:04.328Z,403590d5-7ac7-4945-a964-c0adb7186a88,14.57,70.44,19.0
Dotyk.Application.News,2018-02-01T16:11:48.5615712Z,2018-02-01T16:12:02.558Z,f61f1e45-667d-4aee-96da-8003e9ee6c48,16.18,0.23,19.0
Dotyk.Application.News,2018-02-01T16:30:04.4818992Z,2018-02-01T16:30:12.91Z,e4a06d78-cf2f-47d0-be75-c65184e14c19,16.5,0.14,115.0
Dotyk.Application.News,2018-02-01T18:43:12.7732366Z,2018-02-01T18:44:05.887Z,428d8da2-7556-488e-a780-91e062810f7a,18.72,0.89,129.0
Dotyk.Application.News,2018-02-02T16:12:09.4685684Z,2018-02-02T16:12:59.931Z,f9148929-d9be-490f-984d-b41ad33f1ee0,16.2,0.84,52.0
Dotyk.Application.News,2018-02-02T16:59:28.4039644Z,2018-02-02T16:59:57.431Z,7d9f5996-cfd3-42d2-9973-c378e9130c4b,16.98,0.48,98.0
Dotyk.Application.News,2018-02-02T17:01:59.8312738Z,2018-02-02T17:02:36.367Z,b4e81a6e-f3d8-4e0a-943e-a399a02f0859,17.02,0.61,45.0
Dotyk.Application.News,2018-02-02T17:05:38.4866693Z,2018-02-02T17:05:45.095Z,d76956e3-1094-47c3-92e3-16bfd7d084d6,17.08,0.11,25.0
Dotyk.Application.News,2018-02-02T18:07:31.5529952Z,2018-02-02T18:08:00.547Z,c0680982-35bd-4d07-8797-af1d4d9f8de7,18.12,0.48,52.0
Dotyk.Application.News,2018-02-02T19:02:39.5963326Z,2018-02-02T19:02:57.593Z,8a436147-1e2f-4630-a54d-371517f80b00,19.03,0.3,115.0
Dotyk.Application.News,2018-02-02T19:35:54.4318931Z,2018-02-02T19:36:26.638Z,cfbc6f3b-0422-46b4-ac6b-25039fb9c75d,19.58,0.54,155.0
Dotyk.Application.News,2018-02-02T21:18:00.2255797Z,2018-02-02T21:19:22.173Z,9fb78c1c-92b6-497e-bfe1-db5377ab78d0,21.3,1.37,155.0
Dotyk.Application.News,2018-02-03T09:14:36.9408262Z,2018-02-03T09:14:44.165Z,d11374eb-05a5-4b77-90de-f87e300a9e4a,9.23,0.12,132.0
Dotyk.Application.News,2018-02-03T09:19:26.2076415Z,2018-02-03T09:20:04.556Z,3ea3f16e-878a-4da3-99e6-092b374d021a,9.32,0.64,380.0
Dotyk.Application.News,2018-02-03T09:26:47.5022013Z,2018-02-03T09:27:11.108Z,7f142117-695e-4943-a5e6-50ed3ddf7abb,9.43,0.39,380.0
Dotyk.Application.News,2018-02-03T09:33:18.405906Z,2018-02-03T09:34:18.576Z,78267fef-07e7-42e0-9d5c-e1e7d7ecee28,9.55,1.0,380.0
Dotyk.Application.News,2018-02-03T09:34:25.2135181Z,2018-02-03T09:36:18.791Z,812274be-7462-4d55-a54f-29a0caf0f397,9.57,1.89,380.0
Dotyk.Application.News,2018-02-03T09:34:42.9741012Z,2018-02-03T10:51:20.497Z,3daf5bec-25b0-4edc-b611-9e697b2c6e2b,9.57,76.63,132.0
Dotyk.Application.News,2018-02-03T09:45:34.1912365Z,2018-02-03T09:46:01.279Z,a156a52b-a7cd-4ac9-8386-06e72cea7269,9.75,0.45,380.0
Dotyk.Application.News,2018-02-03T09:48:24.144191Z,2018-02-03T09:48:43.568Z,bed82dea-417e-4248-a668-de00a3839cba,9.8,0.32,380.0
