AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours,Weekday
Dotyk.Application.Memory,2018-02-01T10:56:49.1303397Z,2018-02-01T10:56:54.519Z,64eebb71-d27e-462c-89a1-72854dcc13c0,10.93,0.09,175.0,10,3
Dotyk.Application.Memory,2018-02-01T14:34:43.7666531Z,2018-02-01T14:35:07.619Z,c87b1a7a-928c-4b14-ad83-bac58fbb6703,14.57,0.4,38.0,14,3
Dotyk.Application.Memory,2018-02-01T15:45:15.3587261Z,2018-02-01T15:45:39.204Z,63a74993-3747-4c1e-9427-8f6927b4bcdb,15.75,0.4,36.0,15,3
Dotyk.Application.Memory,2018-02-01T15:45:45.5185115Z,2018-02-01T15:48:57.159Z,258e38fb-989c-407a-9198-afda5a8e11f5,15.75,3.19,36.0,15,3
Dotyk.Application.Memory,2018-02-01T15:45:52.6736823Z,2018-02-01T15:51:24.024Z,8fcbd9de-a88f-494b-8c50-7781958585cd,15.75,5.52,175.0,15,3
Dotyk.Application.Memory,2018-02-01T15:45:59.4315596Z,2018-02-01T15:46:36.821Z,2c18d8cc-6513-4ece-b41b-9af2a5175936,15.75,0.62,19.0,15,3
Dotyk.Application.Memory,2018-02-01T16:28:48.6653834Z,2018-02-01T16:29:50.81Z,4ec5c2a3-66b4-4991-9828-ab7955caebff,16.47,1.04,38.0,16,3
Dotyk.Application.Memory,2018-02-01T16:30:15.5953108Z,2018-02-01T16:31:19.623Z,d7363085-a1f1-4cdd-b754-4669409e2710,16.5,1.07,38.0,16,3
Dotyk.Application.Memory,2018-02-01T16:31:24.6876922Z,2018-02-01T16:33:11.264Z,d0c3e773-21b4-456a-942b-7eed300b17de,16.52,1.78,129.0,16,3
Dotyk.Application.Memory,2018-02-01T16:33:19.35716Z,2018-02-01T16:33:26.773Z,ba864e96-7122-4230-ad9f-55b6ae622494,16.55,0.12,129.0,16,3
Dotyk.Application.Memory,2018-02-02T11:23:23.2777145Z,2018-02-02T11:24:02.679Z,58dc4176-db4b-4eef-9c0e-5c82ca27540d,11.38,0.66,175.0,11,4
Dotyk.Application.Memory,2018-02-02T15:48:18.9819127Z,2018-02-02T15:56:18.139Z,12266f46-1182-4740-90a4-828cfb6af0de,15.8,7.99,52.0,15,4
Dotyk.Application.Memory,2018-02-02T16:47:06.7685532Z,2018-02-02T17:07:08.093Z,44b759fa-e220-4331-a1f6-2ae6d5c99246,16.78,20.02,30.0,16,4
Dotyk.Application.Memory,2018-02-02T16:59:51.8363965Z,2018-02-02T17:01:30.702Z,c7ddbc5f-b44f-44f4-bc58-0998843b7231,16.98,1.65,45.0,16,4
Dotyk.Application.Memory,2018-02-02T17:00:22.0186064Z,2018-02-02T17:36:36.69Z,7481de04-f2ce-40f4-8a49-6a4d95ddab1a,17.0,36.24,98.0,17,4
Dotyk.Application.Memory,2018-02-02T17:02:47.5311132Z,2018-02-02T17:08:42.298Z,484d4e87-aaf7-4032-ae16-1a71bec628f6,17.03,5.91,52.0,17,4
Dotyk.Application.Memory,2018-02-02T17:03:58.4865043Z,2018-02-02T17:04:49.255Z,12afac71-9b08-4733-84dd-15ac08bae5ae,17.05,0.85,25.0,17,4
Dotyk.Application.Memory,2018-02-02T17:20:44.508959Z,2018-02-02T17:30:17.863Z,2643c6e6-50f4-44e5-9cad-502982be0f7b,17.33,9.56,52.0,17,4
Dotyk.Application.Memory,2018-02-02T17:52:07.5352141Z,2018-02-02T18:08:57.193Z,7d74d6f9-3d35-4ad1-bfa6-e51ff0c52353,17.87,16.83,98.0,17,4
Dotyk.Application.Memory,2018-02-02T18:14:03.1031302Z,2018-02-02T18:24:34.902Z,660e6c1b-1fd9-4f5c-bb24-cb2f8cb1ad77,18.23,10.53,52.0,18,4
Dotyk.Application.Memory,2018-02-02T18:22:23.5696111Z,2018-02-02T18:28:28.021Z,c35d4294-2560-4573-904c-5502b140dd54,18.37,6.07,25.0,18,4
Dotyk.Application.Memory,2018-02-02T19:03:17.2655686Z,2018-02-02T19:17:56.347Z,5d682759-e875-4c9c-80ec-5f64c8b20d92,19.05,14.65,45.0,19,4
Dotyk.Application.Memory,2018-02-02T19:03:45.2780792Z,2018-02-02T19:04:19.924Z,f1d069e3-a720-4479-a7d9-5c7a696085f4,19.05,0.58,115.0,19,4
Dotyk.Application.Memory,2018-02-02T19:04:24.377087Z,2018-02-02T19:17:52.786Z,18ad34e7-f065-486b-872d-12a0bbb2586d,19.07,13.47,115.0,19,4
Dotyk.Application.Memory,2018-02-02T19:37:32.1204763Z,2018-02-02T19:37:35.036Z,7a404064-18e8-481f-8ce5-92603f340220,19.62,0.05,45.0,19,4
Dotyk.Application.Memory,2018-02-03T09:14:15.2840751Z,2018-02-03T09:15:33.261Z,e23054fb-1fc8-4452-a57d-fc58308a2ec7,9.23,1.3,380.0,9,5
Dotyk.Application.Memory,2018-02-03T09:14:38.7151528Z,2018-02-03T09:14:50.893Z,5ba54a75-4717-41ff-abea-96c89639ac86,9.23,0.2,105.0,9,5
Dotyk.Application.Memory,2018-02-03T09:15:01.5290234Z,2018-02-03T09:21:19.995Z,265f2ba3-e38a-4c33-b60e-13f52f1748c0,9.25,6.31,132.0,9,5
Dotyk.Application.Memory,2018-02-03T09:15:40.4862783Z,2018-02-03T09:16:56.922Z,a8a298ba-4059-40b8-b337-58fda62a8ce5,9.25,1.27,380.0,9,5
Dotyk.Application.Memory,2018-02-03T09:19:00.5671408Z,2018-02-03T09:19:08.679Z,1d9b3b43-5acc-457c-a4da-fd0e6a7a41aa,9.32,0.14,380.0,9,5
Dotyk.Application.Memory,2018-02-03T09:25:50.1152319Z,2018-02-03T09:25:54.615Z,1d76e359-b5cd-4fc6-87e6-b314cd3c7e64,9.42,0.07,380.0,9,5
Dotyk.Application.Memory,2018-02-03T09:48:14.4246481Z,2018-02-03T09:48:18.464Z,e58d261c-53d4-4809-8d7a-c420692904cc,9.8,0.07,380.0,9,5
