AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours,Weekday
Dotyk.Application.Wallpapers,2018-02-01T13:41:16.0926457Z,2018-02-01T13:46:28.605Z,231121d4-e51f-4f7a-ab0a-f0c7f7811431,13.68,5.21,38.0,13,3
Dotyk.Application.Wallpapers,2018-02-01T13:46:49.4519108Z,2018-02-01T13:47:48.804Z,f1af9b4f-0b35-4877-a6eb-866810a9b31f,13.77,0.99,38.0,13,3
Dotyk.Application.Wallpapers,2018-02-01T13:50:09.5757535Z,2018-02-01T14:42:13.592Z,37dca68e-6223-436f-921b-6b3f21539b93,13.83,52.07,115.0,13,3
Dotyk.Application.Wallpapers,2018-02-01T15:50:52.4383834Z,2018-02-01T15:52:07.654Z,d64cdd53-e8eb-49ea-8912-9a365ec903b1,15.83,1.25,129.0,15,3
Dotyk.Application.Wallpapers,2018-02-01T16:01:42.6547511Z,2018-02-01T16:06:50.549Z,0dfac597-0ca4-46cc-a5ea-022621522815,16.02,5.13,38.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:07:11.9574765Z,2018-02-01T16:08:42.142Z,228d9218-f444-4fad-a048-49023832397d,16.12,1.5,115.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:08:13.3625258Z,2018-02-01T16:08:46.576Z,18a39d4e-e617-4ce8-bf43-db7c3ec27d65,16.13,0.55,38.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:13:06.1362419Z,2018-02-01T16:13:14.38Z,125f17ae-5bf2-4265-bbec-d10456617aaa,16.22,0.14,129.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:13:28.2175028Z,2018-02-01T16:14:26.316Z,13255529-5cb5-48aa-b0d6-dd76828dabd6,16.22,0.97,19.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:19:15.474818Z,2018-02-01T16:19:37.881Z,bec7d27a-0e97-49b9-91a8-5e44d7529a42,16.32,0.37,129.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:38:21.4536272Z,2018-02-01T16:39:24.92Z,d7620236-a629-488c-9f2e-f51b9a815c44,16.63,1.06,19.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:49:05.8540107Z,2018-02-01T16:49:14.442Z,cdc0798c-aee9-41d4-81b2-4997c990f400,16.82,0.14,129.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T16:49:20.9416233Z,2018-02-01T16:49:23.26Z,4ed89959-4a73-4f11-8079-cbbae9c0762e,16.82,0.04,129.0,16,3
Dotyk.Application.Wallpapers,2018-02-01T18:09:23.8453772Z,2018-02-01T18:13:39.872Z,d8d0efb7-b4d7-477e-ad8c-b9bab21df6c0,18.15,4.27,36.0,18,3
Dotyk.Application.Wallpapers,2018-02-01T18:10:22.8598519Z,2018-02-01T18:13:43.993Z,ab4e79b4-f15d-47b6-867a-8bf7cb7820d8,18.17,3.35,19.0,18,3
Dotyk.Application.Wallpapers,2018-02-01T18:13:49.0668744Z,2018-02-01T18:14:07.895Z,6316c147-38ae-40f5-971d-f5eb964eac71,18.22,0.31,19.0,18,3
Dotyk.Application.Wallpapers,2018-02-01T18:14:14.7275456Z,2018-02-01T18:14:20.899Z,7dd31949-b104-4c08-b8b6-0c576e091629,18.23,0.1,36.0,18,3
Dotyk.Application.Wallpapers,2018-02-02T15:38:43.502864Z,2018-02-02T15:38:56.177Z,e1025ec4-585e-4b24-b91b-386f8ba8dac1,15.63,0.21,52.0,15,4
Dotyk.Application.Wallpapers,2018-02-02T15:42:59.1778628Z,2018-02-02T15:47:19.293Z,49699b87-0b2a-424d-a3cf-10add8e0de04,15.7,4.34,52.0,15,4
Dotyk.Application.Wallpapers,2018-02-02T16:02:38.9295044Z,2018-02-02T16:03:23.391Z,00347686-a9a8-43b5-b789-8fe3e78f9f31,16.03,0.74,52.0,16,4
Dotyk.Application.Wallpapers,2018-02-02T16:02:43.4582052Z,2018-02-02T16:03:24.86Z,4c4027a5-f6fa-4fb2-b970-f8805e0f8b47,16.03,0.69,52.0,16,4
Dotyk.Application.Wallpapers,2018-02-02T16:52:53.8263414Z,2018-02-02T16:54:07.847Z,72357538-7ad0-43ca-8e2a-55e02777e8a0,16.87,1.23,45.0,16,4
Dotyk.Application.Wallpapers,2018-02-02T17:01:44.7871684Z,2018-02-02T17:02:48.982Z,28ad4b95-daf4-49d1-9710-92a706307d46,17.02,1.07,25.0,17,4
