AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours,Weekday
Dotyk.Application.PhotoShare,2018-02-03T11:28:37.2353431Z,2018-02-03T11:28:43.962Z,7d310318-eb78-4547-bdee-bf0c270a61fa,11.47,0.11,25.0,11,5
Dotyk.Application.PhotoShare,2018-02-03T11:32:00.2535545Z,2018-02-03T11:32:03.286Z,8a776385-0dd8-48af-892a-0f43084af6cc,11.53,0.05,25.0,11,5
Dotyk.Application.PhotoShare,2018-02-03T11:32:31.046741Z,2018-02-03T11:32:37.074Z,b8d1070d-c880-424a-b5a0-15e9d6ebb6c6,11.53,0.1,25.0,11,5
Dotyk.Application.PhotoShare,2018-02-03T12:46:29.6805737Z,2018-02-03T13:04:55.303Z,dfe5c001-1dbc-454c-9b4d-e38e1039939a,12.77,18.43,165.0,12,5
Dotyk.Application.PhotoShare,2018-02-03T13:12:29.8916865Z,2018-02-03T13:12:38.089Z,319189d6-7f15-4e15-aff0-9ff488070eb6,13.2,0.14,25.0,13,5
Dotyk.Application.PhotoShare,2018-02-03T13:45:22.8887244Z,2018-02-03T13:45:44.631Z,eebefc70-1cf4-437c-b31e-301c4e4bdf42,13.75,0.36,165.0,13,5
Dotyk.Application.PhotoShare,2018-02-03T13:50:56.9556059Z,2018-02-03T14:11:26.372Z,80294888-a38d-49a0-9607-d40f08060ee5,13.83,20.49,132.0,13,5
Dotyk.Application.PhotoShare,2018-02-03T14:53:48.1535243Z,2018-02-03T14:53:52.779Z,a753f14d-55be-4f9c-b376-f102ea2816e1,14.88,0.08,165.0,14,5
Dotyk.Application.PhotoShare,2018-02-03T14:56:32.2239738Z,2018-02-03T14:56:35.253Z,1bb976fe-8c60-42bf-b3bc-33989309a9cb,14.93,0.05,165.0,14,5
Dotyk.Application.PhotoShare,2018-02-03T15:24:35.388462Z,2018-02-03T15:24:45.524Z,fa76c105-f084-4cbb-ba4f-2e30b9d2539d,15.4,0.17,105.0,15,5
Dotyk.Application.PhotoShare,2018-02-03T16:07:57.4650134Z,2018-02-03T16:08:15.606Z,33635a63-8e23-4b69-98c6-350e3e88e6df,16.12,0.3,165.0,16,5
