AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.JigsawPuzzle,2018-02-01T14:36:35.597582Z,2018-02-01T14:44:25.106Z,99086463-c0e5-44fd-bbe9-21bd27e2875f,14.6,7.83,38.0,14
Dotyk.Application.Restaurant,2018-02-01T14:37:38.667598Z,2018-02-01T17:09:56.382Z,ba2602a4-3201-4b2f-b5ea-ae97cc0a8c1e,14.62,152.3,89.0,14
Dotyk.Application.PhotoShare,2018-02-01T14:41:34.9436274Z,2018-02-01T14:44:41.112Z,390af68d-bb9b-4d1d-a51c-d238c2d62450,14.68,3.1,129.0,14
Dotyk.Application.JigsawPuzzle,2018-02-01T14:42:20.9204992Z,2018-02-01T14:43:36.513Z,9c3fec2e-5a7c-43e6-a0d2-5e51cdb7c958,14.7,1.26,115.0,14
Dotyk.Application.AirHockey,2018-02-01T14:43:41.5689073Z,2018-02-01T15:30:04.3Z,2a2204b0-a922-4bde-94cb-20ce85715679,14.72,46.38,115.0,14
Dotyk.Application.AirHockey,2018-02-01T14:44:30.4940526Z,2018-02-01T15:22:07.728Z,100b8910-3ea5-4b33-ade1-16d89aac1dd4,14.73,37.62,38.0,14
Dotyk.Application.AirHockey,2018-02-01T14:44:51.1632975Z,2018-02-01T14:46:53.394Z,99751295-807e-41dc-8672-0f2a69597f0b,14.73,2.04,129.0,14
Dotyk.Application.AirHockey,2018-02-01T14:47:01.3014671Z,2018-02-01T15:21:43.15Z,7a94a75e-9c4f-4e02-b392-03d3d81d22e8,14.78,34.7,129.0,14
Dotyk.Application.AirHockey,2018-02-01T15:21:50.6833098Z,2018-02-01T15:22:00Z,c8a86078-0279-4468-a962-499fcca02c26,15.35,0.16,129.0,15
Dotyk.Application.AirHockey,2018-02-01T15:30:15.2202941Z,2018-02-01T15:30:45.698Z,e90ae21a-8b3a-42a7-9378-2e710e635a43,15.5,0.51,129.0,15
Dotyk.Application.AirHockey,2018-02-01T15:31:12.5314061Z,2018-02-01T15:42:15.994Z,92cae97c-864c-41e3-8fbc-f7629242289c,15.52,11.06,38.0,15
Dotyk.Application.AirHockey,2018-02-01T15:31:29.5387411Z,2018-02-01T15:41:38.677Z,61fba886-eef3-4489-be95-044f2c2f4209,15.52,10.15,115.0,15
Dotyk.Application.AirHockey,2018-02-01T15:40:08.6683307Z,2018-02-01T15:40:29.525Z,d3bbc3c2-8d9e-4684-8f6d-9ed13f79fee9,15.67,0.35,129.0,15
Dotyk.Application.Paint,2018-02-01T15:40:18.4911584Z,2018-02-01T15:41:13.256Z,cf636439-9bf9-4683-b0c1-cb025f96421a,15.67,0.91,175.0,15
Dotyk.Application.JigsawPuzzle,2018-02-01T15:40:35.8551901Z,2018-02-01T15:43:29.931Z,811947ad-d986-4068-b814-d1ddbc6e97aa,15.67,2.9,129.0,15
Dotyk.Application.AirHockey,2018-02-01T15:41:23.9285009Z,2018-02-01T15:45:00.063Z,9d991c55-ef7a-428a-aa98-8dfa61a9a2b8,15.68,3.6,175.0,15
Dotyk.Application.AirHockey,2018-02-01T15:41:27.856323Z,2018-02-01T15:44:38.297Z,337bf5a4-411f-48ee-b53d-31cddaa91ba2,15.68,3.17,36.0,15
Dotyk.Application.Paint,2018-02-01T15:42:27.3176114Z,2018-02-01T16:01:35.608Z,9a739cfb-d036-48ff-be2d-0c74972077bd,15.7,19.14,38.0,15
Dotyk.Application.AirHockey,2018-02-01T15:42:30.5884483Z,2018-02-01T15:47:04.277Z,edbea818-1933-4429-b4eb-984ba219055c,15.7,4.56,129.0,15
